  Training baseline on joint group: dip
  train: 2453 patients,   9220 images  | KL0=5870  KL1=1246  KL2=1827  KL3=154  KL4=123
  val:  525 patients,   1985 images  | KL0=1319  KL1=253  KL2=350  KL3=35  KL4=28
  test:  527 patients,   1987 images  | KL0=1298  KL1=275  KL2=368  KL3=26  KL4=20

============================================================
Baseline ResNet-18 — dip — no augmentation
============================================================

  Run 1/3
    [baseline_dip] run=1 ep=1/50  loss=1.5620  val_acc=0.5683  KL3=0.0000  KL4=0.9286  (12s)
    [baseline_dip] run=1 ep=2/50  loss=1.2128  val_acc=0.4428  KL3=0.2857  KL4=0.8571  (9s)
    [baseline_dip] run=1 ep=3/50  loss=0.9814  val_acc=0.6977  KL3=0.9143  KL4=0.0000  (8s)
    [baseline_dip] run=1 ep=4/50  loss=0.8628  val_acc=0.6715  KL3=0.3143  KL4=0.7500  (9s)
    [baseline_dip] run=1 ep=5/50  loss=0.7941  val_acc=0.7340  KL3=0.8286  KL4=0.0000  (8s)
    [baseline_dip] run=1 ep=6/50  loss=0.8470  val_acc=0.7053  KL3=0.6571  KL4=0.7500  (9s)
    [baseline_dip] run=1 ep=7/50  loss=0.7714  val_acc=0.7103  KL3=0.2857  KL4=0.8571  (9s)
    [baseline_dip] run=1 ep=8/50  loss=0.7650  val_acc=0.7496  KL3=0.5429  KL4=0.3929  (8s)
    [baseline_dip] run=1 ep=9/50  loss=0.6566  val_acc=0.6615  KL3=0.4857  KL4=0.8571  (9s)
    [baseline_dip] run=1 ep=10/50  loss=0.6415  val_acc=0.7370  KL3=0.7429  KL4=0.1786  (8s)
    [baseline_dip] run=1 ep=11/50  loss=0.6036  val_acc=0.7360  KL3=0.4571  KL4=0.5714  (9s)
    [baseline_dip] run=1 ep=12/50  loss=0.5802  val_acc=0.7668  KL3=0.5429  KL4=0.5714  (9s)
    [baseline_dip] run=1 ep=13/50  loss=0.5430  val_acc=0.7239  KL3=0.2571  KL4=0.6786  (8s)
    [baseline_dip] run=1 ep=14/50  loss=0.5855  val_acc=0.7270  KL3=0.4857  KL4=0.5357  (9s)
    [baseline_dip] run=1 ep=15/50  loss=0.5017  val_acc=0.7290  KL3=0.7429  KL4=0.4286  (9s)
    [baseline_dip] run=1 ep=16/50  loss=0.5218  val_acc=0.7023  KL3=0.4857  KL4=0.5714  (9s)
    [baseline_dip] run=1 ep=17/50  loss=0.5242  val_acc=0.6952  KL3=0.5429  KL4=0.4643  (9s)
    [baseline_dip] run=1 ep=18/50  loss=0.4956  val_acc=0.7093  KL3=0.6857  KL4=0.3571  (8s)
    [baseline_dip] run=1 ep=19/50  loss=0.5082  val_acc=0.6846  KL3=0.4000  KL4=0.8571  (9s)
    [baseline_dip] run=1 ep=20/50  loss=0.4942  val_acc=0.7259  KL3=0.3714  KL4=0.5000  (8s)
    [baseline_dip] run=1 ep=21/50  loss=0.4824  val_acc=0.6821  KL3=0.6286  KL4=0.4286  (9s)
