  train: 2489 patients,  28751 images  | KL0=22004  KL1=3275  KL2=3109  KL3=213  KL4=150
  val:  533 patients,   6163 images  | KL0=4737  KL1=670  KL2=679  KL3=38  KL4=39
  test:  534 patients,   6137 images  | KL0=4748  KL1=592  KL2=696  KL3=57  KL4=44

============================================================
Baseline ResNet-18 — pooled — no augmentation
============================================================

  Run 1/3
    [baseline] run=1 ep=1/50  loss=1.3074  val_acc=0.6902  KL3=0.2895  KL4=0.7692  (24s)
    [baseline] run=1 ep=2/50  loss=0.9423  val_acc=0.7584  KL3=0.5789  KL4=0.4872  (21s)
    [baseline] run=1 ep=3/50  loss=0.8177  val_acc=0.7399  KL3=0.5789  KL4=0.2051  (22s)
    [baseline] run=1 ep=4/50  loss=0.7707  val_acc=0.7180  KL3=0.3947  KL4=0.5897  (21s)
    [baseline] run=1 ep=5/50  loss=0.7121  val_acc=0.6399  KL3=0.6053  KL4=0.5897  (21s)
    [baseline] run=1 ep=6/50  loss=0.6998  val_acc=0.7386  KL3=0.5526  KL4=0.4872  (21s)
    [baseline] run=1 ep=7/50  loss=0.6502  val_acc=0.7074  KL3=0.7105  KL4=0.2308  (22s)
    [baseline] run=1 ep=8/50  loss=0.6158  val_acc=0.7422  KL3=0.3158  KL4=0.3846  (21s)
    [baseline] run=1 ep=9/50  loss=0.5648  val_acc=0.7607  KL3=0.6842  KL4=0.3333  (22s)
    [baseline] run=1 ep=10/50  loss=0.5513  val_acc=0.7049  KL3=0.5263  KL4=0.3333  (21s)
    [baseline] run=1 ep=11/50  loss=0.5601  val_acc=0.7292  KL3=0.2105  KL4=0.7949  (22s)
    [baseline] run=1 ep=12/50  loss=0.5491  val_acc=0.6985  KL3=0.4211  KL4=0.6410  (21s)
    [baseline] run=1 ep=13/50  loss=0.5062  val_acc=0.7801  KL3=0.3421  KL4=0.6154  (22s)
    [baseline] run=1 ep=14/50  loss=0.4710  val_acc=0.7391  KL3=0.5000  KL4=0.6923  (21s)
    [baseline] run=1 ep=15/50  loss=0.4761  val_acc=0.7652  KL3=0.3947  KL4=0.4872  (21s)
    [baseline] run=1 ep=16/50  loss=0.4330  val_acc=0.7810  KL3=0.5526  KL4=0.2564  (22s)
    [baseline] run=1 ep=17/50  loss=0.4325  val_acc=0.6820  KL3=0.4474  KL4=0.5385  (21s)
    [baseline] run=1 ep=18/50  loss=0.4823  val_acc=0.7233  KL3=0.6053  KL4=0.3077  (22s)
    [baseline] run=1 ep=19/50  loss=0.4732  val_acc=0.7732  KL3=0.6053  KL4=0.1026  (21s)
    [baseline] run=1 ep=20/50  loss=0.4305  val_acc=0.7714  KL3=0.2368  KL4=0.4615  (22s)
    [baseline] run=1 ep=21/50  loss=0.3813  val_acc=0.7255  KL3=0.6842  KL4=0.3077  (20s)
    [baseline] run=1 ep=22/50  loss=0.3808  val_acc=0.7736  KL3=0.4737  KL4=0.2051  (22s)
    [baseline] run=1 ep=23/50  loss=0.3784  val_acc=0.7242  KL3=0.3947  KL4=0.5641  (22s)
    [baseline] run=1 ep=24/50  loss=0.3742  val_acc=0.8149  KL3=0.3158  KL4=0.3590  (22s)
    [baseline] run=1 ep=25/50  loss=0.3625  val_acc=0.7771  KL3=0.2105  KL4=0.4103  (21s)
    [baseline] run=1 ep=26/50  loss=0.3696  val_acc=0.7701  KL3=0.2632  KL4=0.6154  (22s)
    [baseline] run=1 ep=27/50  loss=0.3392  val_acc=0.7607  KL3=0.3947  KL4=0.2564  (22s)
    [baseline] run=1 ep=28/50  loss=0.3267  val_acc=0.7798  KL3=0.4737  KL4=0.2564  (21s)
    [baseline] run=1 ep=29/50  loss=0.3141  val_acc=0.7529  KL3=0.3684  KL4=0.4103  (17s)
    [baseline] run=1 ep=30/50  loss=0.3165  val_acc=0.7800  KL3=0.4474  KL4=0.2564  (19s)
    [baseline] run=1 ep=31/50  loss=0.3009  val_acc=0.7662  KL3=0.4474  KL4=0.2564  (21s)
    [baseline] run=1 ep=32/50  loss=0.2996  val_acc=0.7655  KL3=0.4474  KL4=0.3846  (22s)
    [baseline] run=1 ep=33/50  loss=0.2998  val_acc=0.7621  KL3=0.3684  KL4=0.2564  (21s)
    [baseline] run=1 ep=34/50  loss=0.2931  val_acc=0.7727  KL3=0.4211  KL4=0.2564  (21s)
    [baseline] run=1 ep=35/50  loss=0.2743  val_acc=0.7555  KL3=0.3421  KL4=0.3077  (21s)
    [baseline] run=1 ep=36/50  loss=0.2660  val_acc=0.7689  KL3=0.3684  KL4=0.3846  (21s)
    [baseline] run=1 ep=37/50  loss=0.2653  val_acc=0.7785  KL3=0.3947  KL4=0.2308  (22s)
    [baseline] run=1 ep=38/50  loss=0.3930  val_acc=0.7634  KL3=0.5000  KL4=0.3846  (21s)
